Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,West Liberty,31,2.0,Point Park,41,3.0,1
12/6/2025,West Liberty,31/0,0.0,Point Park,11,0.0,1
12/6/2025,West Liberty,0,0.0,Point Park,61/31,0.0,1
12/6/2025,West Liberty,31/31,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,31,0.0,Point Park,31,2.0,1
12/6/2025,West Liberty,61,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,0,0.0,Point Park,31,0.0,1
12/6/2025,West Liberty,70,2.0,Point Park,11/70,2.0,1
12/6/2025,West Liberty,41/31,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,61,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,60/61,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,60,2.0,Point Park,70,3.0,1
12/6/2025,West Liberty,31/41,0.0,Point Park,61,0.0,1
12/6/2025,West Liberty,0,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,61,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,11,0.0,Point Park,61,2.0,1
12/6/2025,West Liberty,0,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,31/70,2.0,Point Park,31,2.0,1
12/6/2025,West Liberty,0,0.0,Point Park,41/31,0.0,1
12/6/2025,West Liberty,41,3.0,Point Park,0,0.0,1
12/6/2025,West Liberty,41,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,61/31,2.0,Point Park,30/0,0.0,1
12/6/2025,West Liberty,61,2.0,Point Park,70,1.0,1
12/6/2025,West Liberty,61,0.0,Point Park,0,0.0,1
12/6/2025,West Liberty,0,0.0,Point Park,41,0.0,1
12/6/2025,West Liberty,0,0.0,Point Park,31,2.0,1
12/6/2025,West Liberty,70,1.0,Point Park,41,0.0,1
12/6/2025,West Liberty,70,3.0,Point Park,0,0.0,1
12/6/2025,West Liberty,61,2.0,Point Park,40,3.0,1
12/6/2025,West Liberty,60,0.0,Point Park,11,0.0,1
12/6/2025,West Liberty,61,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,41,0.0,Point Park,11,0.0,1
12/6/2025,West Liberty,61,2.0,Point Park,0,0.0,1
12/6/2025,West Liberty,31,2.0,Point Park,41/0,0.0,1
12/6/2025,West Liberty,60,2.0,Point Park,60,0.0,1
12/6/2025,West Liberty,60,0.0,Point Park,60,2.0,1
12/6/2025,West Liberty,0,0.0,Point Park,31,2.0,1
