Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,Concord,61,2.0,Charleston,11/61,0.0,1
12/6/2025,Concord,11/60,2.0,Charleston,0,0.0,1
12/6/2025,Concord,40,0.0,Charleston,61,3.0,1
12/6/2025,Concord,11,0.0,Charleston,60,2.0,1
12/6/2025,Concord,11,0.0,Charleston,60,0.0,1
12/6/2025,Concord,40,0.0,Charleston,0,0.0,1
12/6/2025,Concord,11/60,2.0,Charleston,41,3.0,1
12/6/2025,Concord,0,0.0,Charleston,11,0.0,1
12/6/2025,Concord,0,0.0,Charleston,11,0.0,1
12/6/2025,Concord,60,0.0,Charleston,41,0.0,1
12/6/2025,Concord,11,0.0,Charleston,41,0.0,1
12/6/2025,Concord,31/70,2.0,Charleston,60,2.0,1
12/6/2025,Concord,11,0.0,Charleston,0,0.0,1
12/6/2025,Concord,0,0.0,Charleston,61,0.0,1
12/6/2025,Concord,70,2.0,Charleston,11,0.0,1
12/6/2025,Concord,60,2.0,Charleston,60,2.0,1
12/6/2025,Concord,31/11/61,2.0,Charleston,70,1.0,1
12/6/2025,Concord,60,2.0,Charleston,60,2.0,1
12/6/2025,Concord,11/30/41/11,0.0,Charleston,70,3.0,1
12/6/2025,Concord,31/60,2.0,Charleston,41/70,3.0,1
12/6/2025,Concord,61,0.0,Charleston,61/0,0.0,1
12/6/2025,Concord,61/41,0.0,Charleston,31/31/60,2.0,1
12/6/2025,Concord,60,2.0,Charleston,61,2.0,1
12/6/2025,Concord,70,2.0,Charleston,31,0.0,1
12/6/2025,Concord,41,0.0,Charleston,11,0.0,1
12/6/2025,Concord,11,0.0,Charleston,0,0.0,1
12/6/2025,Concord,70,3.0,Charleston,0,0.0,1
12/6/2025,Concord,0,0.0,Charleston,60,2.0,1
12/6/2025,Concord,60,0.0,Charleston,0,0.0,1
12/6/2025,Concord,61,2.0,Charleston,31,0.0,1
12/6/2025,Concord,31,0.0,Charleston,41,2.0,1
12/6/2025,Concord,40/41,0.0,Charleston,70,1.0,1
12/6/2025,Concord,31,0.0,Charleston,41,3.0,1
12/6/2025,Concord,70,2.0,Charleston,31,0.0,1
12/6/2025,Concord,0,0.0,Charleston,70,3.0,1
12/6/2025,Concord,70,1.0,Charleston,,,1
12/6/2025,Concord,/11,0.0,Charleston,31,2.0,1
12/6/2025,Concord,11/70,2.0,Charleston,11,0.0,1
12/6/2025,Concord,31,0.0,Charleston,,,1
12/6/2025,Concord,31/60,2.0,Charleston,70,2.0,2
12/6/2025,Concord,41,3.0,Charleston,31,2.0,2
12/6/2025,Concord,60,2.0,Charleston,31/70,2.0,2
12/6/2025,Concord,41,3.0,Charleston,61,0.0,2
12/6/2025,Concord,61,2.0,Charleston,61,2.0,2
12/6/2025,Concord,0,0.0,Charleston,61,2.0,2
12/6/2025,Concord,60,2.0,Charleston,11/70,1.0,2
12/6/2025,Concord,11/0,0.0,Charleston,41,0.0,2
12/6/2025,Concord,61,2.0,Charleston,0,0.0,2
12/6/2025,Concord,60,2.0,Charleston,0,0.0,2
12/6/2025,Concord,70,3.0,Charleston,31,0.0,2
12/6/2025,Concord,11/60,2.0,Charleston,0,0.0,2
12/6/2025,Concord,70,1.0,Charleston,61,0.0,2
12/6/2025,Concord,11,0.0,Charleston,61,3.0,2
12/6/2025,Concord,0,0.0,Charleston,61,2.0,2
12/6/2025,Concord,61,2.0,Charleston,60,2.0,2
12/6/2025,Concord,11,0.0,Charleston,61,3.0,2
12/6/2025,Concord,41,2.0,Charleston,31,0.0,2
12/6/2025,Concord,11,0.0,Charleston,61,2.0,2
12/6/2025,Concord,40,0.0,Charleston,31,0.0,2
12/6/2025,Concord,31,0.0,Charleston,41,2.0,2
12/6/2025,Concord,11,0.0,Charleston,61,2.0,2
12/6/2025,Concord,31,3.0,Charleston,61,2.0,2
12/6/2025,Concord,11,0.0,Charleston,0,0.0,2
12/6/2025,Concord,60,2.0,Charleston,11/60,2.0,2
12/6/2025,Concord,11/70,1.0,Charleston,70,2.0,2
12/6/2025,Concord,61,3.0,Charleston,41,0.0,2
12/6/2025,Concord,61,2.0,Charleston,70,1.0,2
12/6/2025,Concord,31,0.0,Charleston,70,1.0,2
12/6/2025,Concord,,,Charleston,/61,2.0,2
12/6/2025,Concord,41,3.0,Charleston,0,0.0,2
12/6/2025,Concord,0,0.0,Charleston,11,0.0,2
12/6/2025,Concord,70,1.0,Charleston,,,2
12/6/2025,Concord,/70,1.0,Charleston,61,0.0,2
12/6/2025,Concord,70,2.0,Charleston,61/41,0.0,2
12/6/2025,Concord,70,2.0,Charleston,31,3.0,2
12/6/2025,Concord,70,2.0,Charleston,11,0.0,2
